No.,PartType,PartNumber,ProductModel
1,普通柜体板,gtb,柜排程
2,条板,25xt,柜排程
3,条板,40xt,柜排程
4,条板,50xt,柜排程
5,条板,60xt,柜排程
6,条板,80xt,柜排程
7,条板,100xt,柜排程
8,脚板,25jb,柜排程
9,脚板,60jb,柜排程
10,异形板,gtby,柜排程
11,带灯板,gtbd,柜排程
12,板材抽面,cm,柜排程
13,板材门板,mb,柜排程
14,小板件,xb,柜排程
15,不带装饰条护墙板,hqbn,柜排程
16,带装饰条护墙板,hqbz,柜排程
17,板材护墙板腰带,hqby,柜排程
18,圆弧台,gtbh,柜排程
19,PET抽面,cm-pet,柜排程
20,左开木板门（深灰满月门环）,zs-shm,柜排程
21,左开木板门（深灰满月门环含角花）,zs-shmj,柜排程
22,左开木板门（砂金中式圆环拉手）,zs-sjz,柜排程
23,左开木板门（砂金中式圆环拉手含角花）,zs-sjzj,柜排程
24,左开木板门（砂金喜字门环）,zs-sjx,柜排程
25,左开木板门（砂金喜字门环含角花）,zs-sjxj,柜排程
26,左开木板门（砂金寿字门环）,zs-sjs,柜排程
27,左开木板门（砂金寿字门环含角花）,zs-sjsj,柜排程
28,左开木板门（砂金满月门环）,zs-sjm,柜排程
29,左开木板门（砂金满月门环含角花）,zs-sjmj,柜排程
30,左开木板门（玫瑰金满月门环）,zs-mgm,柜排程
31,左开木板门（玫瑰金满月门环含角花）,zs-mgmj,柜排程
32,木板门(含角花),zs-j,柜排程
33,PET门板,mb-pet,柜排程
34,G型拉手门板,mb-g,柜排程
35,G型拉手抽面,cm-g,柜排程
36,异形门板,mb-y,柜排程
18,圆弧板,gtbg,柜排程
